Feature,Importance
SMA_50,0.018840835436719952
EMA_200,0.018495311864485643
OBV_ratio,0.01762929723444274
EMA_5,0.016684350664145076
Price_SMA_100,0.01600219510036403
SMA_20_200_cross,0.015938765858990084
MassIndex_25,0.015234406293256841
ROC_60,0.015100639374041722
SMA_10,0.015007840435280853
ATR_pct_21,0.014752867068979042
EMA_50,0.014740238724402685
EMA_10,0.014656749324398028
MACD_signal,0.01420053428057317
ATR_pct_7,0.013984555690540733
SMA_20,0.013907955120063804
Price_SMA_200,0.013783140246511243
Ret_std_5,0.013514001255302745
BB_width_50,0.013510511550564588
SMA_5,0.01345507068781856
Price_EMA_200,0.013370234309004211
EMA_20,0.013238792923063007
ATR_pct_14,0.013023560859855461
KC_width,0.012901891026293664
RSI_21,0.01276748991124021
Ret_skew_20,0.012515166025328284
EMA_100,0.012322474095212976
OBV_SMA20,0.012257519734317516
SMA_100,0.012253692057637126
Aroon_osc_25,0.012081269949124082
Pct_from_low_52,0.01190372048625999
ATR_14,0.011786606328455814
TRIX_15,0.011701119562859765
DC_width_20,0.011617882238078867
CMF_20,0.011395436397710157
BB_width_10,0.011291475781638782
ATR_7,0.011276925541021379
SMA_200,0.011250225725873208
SMA_10_50_cross,0.01116836666925292
Price_EMA_100,0.0111584357172277
Ret_skew_10,0.011023805542129006
Ret_std_10,0.010853699489728573
ATR_21,0.010676843731913941
OBV,0.010466201704634255
Ret_skew_5,0.010145305733781966
Plus_DI_14,0.009960580820776438
Ret_std_20,0.009817294119998906
ADX_14,0.009811876056327185
Minus_DI_14,0.009330135034733119
EMA_12_26_cross,0.009200743326105532
Pct_from_high_52,0.008662401530297077
MACD_line,0.008553085214548901
MFI_14,0.008522440353221323
Force_13,0.008184806236995815
PPO,0.00811113819436664
EOM_14,0.007918537918654817
Coppock,0.007851670372114965
Pct_from_low_20,0.0077303500836225355
Vol_ratio_20,0.007657882143500931
Lag_ret_5,0.0076421991098078795
HL_range,0.007615238861299315
TEMA_20,0.007577703145273951
BB_pct_50,0.007430194379132528
Aroon_osc_14,0.0074168089738682495
BB_width_20,0.007380588314226513
UltOsc,0.007168054351557114
HMA_proxy,0.007083008708421748
Vol_ratio_10,0.006964399072016435
Bear_power,0.00664842152948232
Gap,0.0066189542294694
MACD_histogram,0.006459711750101592
Ret_mean_5,0.006450199521773121
Upper_shadow,0.006192329930275745
VI_plus_14,0.006031090122460782
Williams_R_14,0.005913068732417049
Price_SMA_50,0.0058956096798206716
Stoch_D_14,0.005867956501488633
VI_minus_14,0.005821497057033218
Price_SMA_10,0.005731756762283828
ROC_5,0.00567982471147756
Price_SMA_5,0.005570613526314487
RSI_14,0.005416748492217583
VWAP_dev,0.005367375099493572
Ret_mean_20,0.0053611302315811704
Price_EMA_50,0.005136745686415176
ROC_20,0.005115425294795501
BB_pct_10,0.00509739704370376
Price_EMA_5,0.00494247316510989
ROC_10,0.0049039087289858485
Body_pct,0.00487827137228451
Stoch_D_21,0.0048195594647666255
BB_pct_20,0.004801621868663164
CCI_20,0.004792675976464921
SMA_5_20_cross,0.004780157178421056
Lag_ret_3,0.004736205053344728
Lower_shadow,0.0046496234568226495
Stoch_K_14,0.004621394952702074
DPO_20,0.0046085603822490565
CCI_14,0.00444887828584283
Price_EMA_10,0.004320758790288233
Bull_power,0.004309082130247982
Lag_ret_1,0.004267713027368507
Pct_from_high_20,0.00426225851349428
RSI_7,0.003989595550421052
DEMA_20,0.003946284266302183
Price_EMA_20,0.003913412905428214
Lag_ret_2,0.0037630671744618505
Ret_mean_10,0.0037516255470273338
Price_SMA_20,0.003740868589673628
Stoch_K_21,0.0036873167444534836
Lag_ret_10,0.0036089749009723133
SAR_proxy,0.0035007451012646785
KC_pct,0.0034882134545088594
Williams_R_21,0.0033666619766387304
ROC_1,0.003245691465793913
