Feature,Importance
MassIndex_25,0.02508229630041495
Ret_std_10,0.023019329099666454
CMF_20,0.018550420411087908
Ret_skew_20,0.017636963070615366
Coppock,0.014520891027468818
TRIX_15,0.01368945585731997
Ret_std_20,0.01342576038931845
BB_width_50,0.013367034434638665
SMA_20,0.013345670383830834
BB_width_20,0.012895112135522998
SMA_20_200_cross,0.012614080116919939
Ret_skew_10,0.012404574945566958
Price_SMA_200,0.012381729470242213
Pct_from_low_52,0.012327966899176781
MACD_histogram,0.011783608390165047
Minus_DI_14,0.011643956640287912
OBV_SMA20,0.011476211017966927
EMA_200,0.011305033164356297
OBV,0.011231383414086346
EMA_10,0.011188180223183887
DC_width_20,0.011086390140735676
Price_SMA_100,0.011033385043814353
MFI_14,0.010840945042198798
KC_width,0.010823758437546144
VI_plus_14,0.010815725668946502
EMA_5,0.01077060587688971
SMA_200,0.010682517851997832
Aroon_osc_25,0.010516947688911
SMA_10,0.010340497133807313
SMA_100,0.010288728538229921
ATR_pct_14,0.01028473683325641
PPO,0.010138023129215832
Ret_std_5,0.010121513178801918
MACD_signal,0.010090183804223773
EMA_50,0.010080074371773764
OBV_ratio,0.010073134249810352
SMA_50,0.009987026004778538
SMA_5,0.00996908626952273
ADX_14,0.009946423958583578
ROC_20,0.009930109297864661
BB_width_10,0.009895927105064312
EMA_20,0.009844513770246678
ATR_pct_21,0.009830526919721395
Price_EMA_200,0.009745110385564762
ROC_60,0.009726754847317675
ATR_pct_7,0.009687568381837465
SMA_5_20_cross,0.009611656081428456
EMA_100,0.009577507605258002
Ret_skew_5,0.009539936130551346
Ret_mean_20,0.00924120817184146
ATR_14,0.009192832837586226
EOM_14,0.008871330247855417
TEMA_20,0.008789958121713279
Vol_ratio_10,0.008785649928406284
Price_EMA_100,0.008377921670224947
SMA_10_50_cross,0.008239993432903497
Price_SMA_50,0.008179294089194515
Pct_from_high_20,0.008132758204551204
RSI_21,0.008048817091876898
Ret_mean_5,0.008019983501554624
Pct_from_low_20,0.007860979767522066
ATR_21,0.0076215399409499725
Stoch_D_21,0.007601454753126453
Force_13,0.00751778640737353
Vol_ratio_20,0.007495703984586243
ATR_7,0.007413683091976945
MACD_line,0.007413667113973308
Plus_DI_14,0.007303374982642691
RSI_14,0.007204946030271176
UltOsc,0.007090482338359277
EMA_12_26_cross,0.007032508606863469
DEMA_20,0.006929110902463397
Lag_ret_5,0.006918530467819444
CCI_20,0.006909505416719835
BB_pct_50,0.00687807906153428
DPO_20,0.006836868834186231
Pct_from_high_52,0.006832277943111288
Price_SMA_10,0.006732108242503699
Williams_R_21,0.006636880668700745
Lower_shadow,0.006448817596892501
VI_minus_14,0.0063387469428259355
Lag_ret_10,0.006315413002246059
HMA_proxy,0.006276945972038398
Williams_R_14,0.006271755350715327
Ret_mean_10,0.006268467145160139
ROC_10,0.006213602134468894
Price_EMA_50,0.0061248548920753935
HL_range,0.0061022316551788405
Price_SMA_20,0.006070911203511918
Stoch_D_14,0.006003830342658856
Bear_power,0.005983802908420386
Bull_power,0.005932311050000582
Stoch_K_21,0.005892389594579206
ROC_5,0.005719165261303238
Gap,0.005670915117801145
Stoch_K_14,0.005512218331666569
Body_pct,0.005439030407806597
BB_pct_20,0.0053467424928343036
Lag_ret_3,0.005254442016377789
Lag_ret_2,0.0052427111570953035
CCI_14,0.005204801815690588
VWAP_dev,0.005181452719286061
BB_pct_10,0.00516631607233412
ROC_1,0.005154553132785773
SAR_proxy,0.004933348360873537
Price_SMA_5,0.004872276007272299
Aroon_osc_14,0.004832651445341941
Price_EMA_20,0.004820831191822489
KC_pct,0.004747483456783411
RSI_7,0.004523250464598099
Price_EMA_5,0.004345702785015782
Lag_ret_1,0.004297040819914052
Upper_shadow,0.0041614197563791125
Price_EMA_10,0.004051360404117341
