Feature,Importance
EMA_20,0.031740193941174055
EMA_50,0.030719781555374234
SMA_20,0.026180348104344043
Price_EMA_200,0.02344317437267274
SMA_5,0.022182827807633525
SMA_50,0.021958465020674195
EMA_10,0.02173928746368253
SMA_200,0.02169019881490246
SMA_100,0.021550909507832935
EMA_5,0.02144107206851482
ROC_60,0.021092574789770294
EMA_100,0.020640057295295926
OBV,0.01927395430684805
MassIndex_25,0.017932079430574746
SMA_10,0.015564374511795811
Ret_std_10,0.015154459229537336
Coppock,0.014219553798330014
Ret_std_5,0.013575368449477498
TEMA_20,0.01349861963341497
TRIX_15,0.012426653588147051
DC_width_20,0.012214682801542117
Price_SMA_200,0.01175913370156199
OBV_ratio,0.011699414028963935
OBV_SMA20,0.011468192511735092
Force_13,0.011262860682089837
Ret_skew_20,0.011143187704071513
Price_SMA_100,0.010448433175712212
PPO,0.010416498562669622
EMA_200,0.010408298130516606
Price_EMA_100,0.010272107788422656
ROC_20,0.009886097796317035
MACD_line,0.009778689375665868
ATR_14,0.009538368714707481
Bull_power,0.009305801959631895
SMA_20_200_cross,0.00891839715451414
BB_width_20,0.008774121983349146
BB_width_10,0.008743474392491693
ATR_21,0.00870512020416902
MACD_histogram,0.008523758736085183
Plus_DI_14,0.008455897461193506
HL_range,0.008233291121187064
KC_width,0.008075342035230942
BB_pct_50,0.008055323028303543
EMA_12_26_cross,0.00800103866245188
Vol_ratio_10,0.007838114823999265
VI_plus_14,0.007770953809666427
BB_width_50,0.007649643929338439
Vol_ratio_20,0.007481386179769625
ADX_14,0.007436785432211967
Ret_mean_5,0.007358647657808773
Ret_skew_5,0.00709640368700941
Minus_DI_14,0.007025816366150922
VWAP_dev,0.006980355608321818
Pct_from_low_20,0.006848636401419061
ATR_pct_21,0.006658903005052821
Bear_power,0.006592618112022418
Lag_ret_3,0.0065088004662801156
Price_EMA_50,0.006500870720637498
SMA_10_50_cross,0.006496706845468001
DPO_20,0.0063301864895002335
Ret_skew_10,0.006305716182711152
Ret_std_20,0.006127148125939109
Price_EMA_10,0.006115413230681567
Aroon_osc_25,0.005991070694226855
HMA_proxy,0.005915425956983185
Upper_shadow,0.005915048056582078
CCI_20,0.005753154896346503
DEMA_20,0.005652163318398013
Lag_ret_10,0.005651446413463921
SMA_5_20_cross,0.005617809325144682
CCI_14,0.00559137620477024
Stoch_D_21,0.0054458850812170775
ATR_pct_7,0.005359513779186598
ATR_7,0.005323217061615335
ATR_pct_14,0.005300270649903497
CMF_20,0.005249074824293074
MACD_signal,0.0051788875368652875
MFI_14,0.0050954968361805976
Stoch_D_14,0.0050769774033316535
Pct_from_low_52,0.005040165554440665
Price_SMA_5,0.005007901283817082
UltOsc,0.004970545810155253
Ret_mean_10,0.004960344994749115
Body_pct,0.004894661391096131
Pct_from_high_52,0.004893262699285231
Lag_ret_5,0.0048204742635513794
ROC_5,0.004757930809730112
Lower_shadow,0.004726490224655611
EOM_14,0.004681944890459997
VI_minus_14,0.0046126366971461
Pct_from_high_20,0.004545465008230589
Williams_R_14,0.004479703746974053
Price_SMA_50,0.004408380891350704
Price_SMA_20,0.004365760864128997
Ret_mean_20,0.0043499454328151345
BB_pct_10,0.004149864517357639
Williams_R_21,0.004007827679807491
KC_pct,0.003996196227818979
Stoch_K_14,0.0039467708798487456
Price_EMA_5,0.003946051442068508
ROC_1,0.0037887731673385693
ROC_10,0.0036894269312813836
Price_SMA_10,0.003566791139015451
RSI_21,0.0035377456789508124
BB_pct_20,0.0034820034506829224
Price_EMA_20,0.003377174828669782
Aroon_osc_14,0.0033292280000418828
Lag_ret_1,0.003296622517720621
RSI_14,0.0031407520841244285
SAR_proxy,0.003119913338170603
Lag_ret_2,0.0029570464576453037
Gap,0.002897759039579752
RSI_7,0.0026878323095672705
Stoch_K_21,0.0022151952326452257
